Name,Acronym,Country_Area,Country_Code,Latitude,Longitude
Bakna,BKN,"Mexiko, Campeche",MX-CAM,19.8415,-90.08178
Balakbal,BLK,"Mexiko, Campeche",MX-CAM,17.88222,-89.585
Balamku,BAL,"Mexiko, Campeche",MX-CAM,18.556518,-89.944885
Balamtun,BLM,"Guatemala, Petén",GT-PE,17.06617,-90.07267
Becan,BCN,"Mexiko, Campeche",MX-CAM,18.517393,-89.466701
Bedrock,,"Belize, Orange Walk",BZ-OW,17.943173,-88.986627
Bejucal,BJC,"Guatemala, Petén",GT-PE,17.28211,-89.76916
Bellote (Island),BLL,"Mexiko, Tabasco",MX-TAB,18.41861,-93.12175
Bilimkok,BMK,"Mexiko, Campeche",MX-CAM,20.11,-89.84117
Blackman Eddy,BED,"Belize, Cayo",BZ-CY,17.2167,-88.9167
Blue Creek,,"Belize, Orange Walk",BZ-OW,17.867988,-88.89345
Bonampak,BPK,"Mexiko, Chiapas",MX-CHP,16.704,-91.065
Buenavista del Cayo,BVC,"Belize, Cayo",BZ-CY,17.13475,-89.12976
Bugambilias,,"Mexiko, Quintana Roo",MX-ROO,18.33'36.1,-88.21243
Caactun,CAA,"Mexiko, Yucatán",MX-YUC,20.23'31.1,-88.4304
Cahal Pech,CLP,"Belize, Cayo",BZ-CY,17.145956,-89.073708
Calakmul,CLK,"Mexiko, Campeche",MX-CAM,18.105612,-89.810328
Canancax,CNX,"Mexiko, Chiapas",MX-CHP,16.85975,-91.18561
Cancuen,CNC,"Guatemala, Petén",GT-PE,16.01469,-90.03842
Candzibaantun,CDZ,"Mexiko, Campeche",MX-CAM,17.85172,-89.71156
Cap'eldzibtunichna,CDZ,"Mexiko, Campeche",MX-CAM,20.24405,-89.97677
Caracol,CRC,"Belize, Cayo",BZ-CY,16.763237,-89.117781
Chacmultun,CHM,"Mexiko, Yucatán",MX-YUC,20.17278,-89.345
Chactun,,"Mexiko, Campeche",MX-CAM,18.72428,-89.52733
Champerico,CHP,"Mexiko, Campeche",MX-CAM,17.91422,-89.49914
Chapatengo,,"Mexiko, Chiapas",MX-CHP,16.117476,-92.532619
Cheyokolna,,"Mexiko, Campeche",MX-CAM,17.880833,-89.815833
Chiapa de Corzo,CPC,"Mexiko, Chiapas",MX-CHP,16.702936,-93.003933
Chicanna,CHC,"Mexiko, Campeche",MX-CAM,18.506936,-89.486376 
Chichen Itza,CHN,"Mexiko, Yucatán",MX-YUC,20.683121,-88.569032
Chinikiha,CNK,"Mexiko, Tabasco",MX-TAB,17.432832,-91.579593
Chinkultic,CKL,"Mexiko, Chiapas",MX-CHP,16.12894,-91.78492
Chochkitam,CKM,"Guatemala, Petén",GT-PE,17.62419,-89.19963
